# Configuration automatically generated by WRITE_CONFIG()
connection usb
#connection (actual) usb
device t7
#device (actual) t7
name "My_T7_6573"
serial "470026573"
samplehz 50000.000000
settleus 1.000000
nsample 64
dataformat ascii

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

distream 16
# Flexible Input/Output
effrequency 100.000000
efchannel 0
efdirection output
efsignal counter
efedge falling
efusec 1000.000000
efchannel 2
efdirection output
efsignal counter
efusec 1000.000000
# Meta Parameters
meta integer
xn 5
xstep 10
zn 1
zstep 20
meta end

## End Configuration ##
#: Wed Jan 26 13:29:26 2022
-1.632998e+00	6.553500e+04
-1.629840e+00	6.553500e+04
-1.626367e+00	6.553500e+04
-1.623841e+00	6.553500e+04
-1.621315e+00	6.553500e+04
-1.618157e+00	6.553500e+04
-1.615947e+00	6.553500e+04
-1.614052e+00	6.553500e+04
-1.612158e+00	6.553500e+04
-1.609947e+00	6.553500e+04
-1.608053e+00	6.553500e+04
-1.606158e+00	6.553500e+04
-1.604579e+00	6.553500e+04
-1.603001e+00	6.553500e+04
-1.600475e+00	6.553500e+04
-1.599527e+00	6.553500e+04
-1.597949e+00	6.553500e+04
-1.595422e+00	6.553500e+04
-1.594159e+00	6.553500e+04
-1.591949e+00	6.553500e+04
-1.589739e+00	6.553500e+04
-1.588160e+00	6.553500e+04
-1.586581e+00	6.553500e+04
-1.584055e+00	6.553500e+04
-1.582792e+00	6.553500e+04
-1.580897e+00	6.553500e+04
-1.579003e+00	6.553500e+04
-1.577108e+00	6.553500e+04
-1.575845e+00	6.553500e+04
-1.573951e+00	6.553500e+04
-1.571740e+00	6.553500e+04
-1.570793e+00	6.553500e+04
-1.568899e+00	6.553500e+04
-1.567004e+00	6.553500e+04
-1.565741e+00	6.553500e+04
-1.563215e+00	6.553500e+04
-1.561636e+00	6.553500e+04
-1.560057e+00	6.553500e+04
-1.558794e+00	6.553500e+04
-1.556900e+00	6.553500e+04
-1.555005e+00	6.553500e+04
-1.553110e+00	6.553500e+04
-1.551847e+00	6.553500e+04
-1.549637e+00	6.553500e+04
-1.548690e+00	6.553500e+04
-1.546795e+00	6.553500e+04
-1.544901e+00	6.553500e+04
-1.543006e+00	6.553500e+04
-1.541743e+00	6.553500e+04
-1.539849e+00	6.553500e+04
-1.538586e+00	6.553500e+04
-1.537323e+00	6.553500e+04
-1.535428e+00	6.553500e+04
-1.533849e+00	6.553500e+04
-1.532270e+00	6.553500e+04
-1.530376e+00	6.553500e+04
-1.529113e+00	6.553500e+04
-1.527534e+00	6.553500e+04
-1.525324e+00	6.553500e+04
-1.524376e+00	6.553500e+04
-1.522482e+00	6.553500e+04
-1.520903e+00	6.553500e+04
-1.519324e+00	6.553500e+04
-1.517745e+00	6.553500e+04
-1.516482e+00	6.553500e+04
-1.514272e+00	6.553500e+04
-1.512693e+00	6.553500e+04
-1.511430e+00	6.553500e+04
-1.509220e+00	6.553500e+04
-1.507641e+00	6.553500e+04
-1.506062e+00	6.553500e+04
-1.504168e+00	6.553500e+04
-1.502273e+00	6.553500e+04
-1.500694e+00	6.553500e+04
-1.499431e+00	6.553500e+04
-1.497221e+00	6.553500e+04
-1.495958e+00	6.553500e+04
-1.493432e+00	6.553500e+04
-1.491853e+00	6.553500e+04
-1.490590e+00	6.553500e+04
-1.488695e+00	6.553500e+04
-1.486801e+00	6.553500e+04
-1.484906e+00	6.553500e+04
-1.483012e+00	6.553500e+04
-1.481433e+00	6.553500e+04
-1.479854e+00	6.553500e+04
-1.478591e+00	6.553500e+04
-1.476696e+00	6.553500e+04
-1.474802e+00	6.553500e+04
-1.473539e+00	6.553500e+04
-1.471960e+00	6.553500e+04
-1.469750e+00	6.553500e+04
-1.468487e+00	6.553500e+04
-1.467224e+00	6.553500e+04
-1.465961e+00	6.553500e+04
-1.464382e+00	6.553500e+04
-1.462803e+00	6.553500e+04
-1.460908e+00	6.553500e+04
-1.459330e+00	6.553500e+04
-1.458067e+00	6.553500e+04
-1.455540e+00	6.553500e+04
-1.453962e+00	6.553500e+04
-1.453014e+00	6.553500e+04
-1.450804e+00	6.553500e+04
-1.449541e+00	6.553500e+04
-1.447331e+00	6.553500e+04
-1.446068e+00	6.553500e+04
-1.444489e+00	6.553500e+04
-1.442594e+00	6.553500e+04
-1.441015e+00	6.553500e+04
-1.439121e+00	6.553500e+04
-1.437542e+00	6.553500e+04
-1.436279e+00	6.553500e+04
-1.434384e+00	6.553500e+04
-1.433121e+00	6.553500e+04
-1.430595e+00	6.553500e+04
-1.429017e+00	6.553500e+04
-1.428069e+00	6.553500e+04
-1.426491e+00	6.553500e+04
-1.424280e+00	6.553500e+04
-1.423017e+00	6.553500e+04
-1.420807e+00	6.553500e+04
-1.418912e+00	6.553500e+04
-1.417649e+00	6.553500e+04
-1.416386e+00	6.553500e+04
-1.414176e+00	6.553500e+04
-1.412913e+00	6.553500e+04
-1.411650e+00	6.553500e+04
