# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ4"
serial "470027299"
ip "192.168.1.36"
samplehz 50000.000000
settleus 1.000000
nsample 100000
dataformat ascii

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

distream 64
# Flexible Input/Output
effrequency 100.000000
efchannel 0
efdirection output
efsignal counter
efedge falling
efchannel 2
efdirection output
efsignal counter
efusec 1.000000
# Meta Parameters
meta integer
xn 3
xstep 100
zn 1
zstep 100
xi 2
zi 0
meta end

## End Configuration ##
#: Thu Jul 14 16:57:35 2022
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
1.010949e+01	6.553000e+04
